叶	76761
号	225925
司	2257
叹	9711
叻	112
叼	1880
叽	379
囚	2094
四	748074
圢	0
圣	4935
处	487354
外	779989
央	756
夯	10178
失	43659
头	217356
奴	902
奶	21694
孕	2032
宁	4769
它	417852
宄	2
对	2651831
尔	4681
尕	13
尻	82
尼	442
左	75467
巧	19974
巨	19310
市	124235
布	25198
帅	17737
平	20415
幼	14072
弁	77
弗	2013
弘	1307
归	36026
必	73020
忉	0
戊	431
戋	15
扑	7940
扒	1950
打	337439
扔	3224
斥	2105
旦	641
旧	138207
未	1030396
末	31470
本	790647
札	907
朮	0
术	8394
正	436225
母	47275
氐	76
民	50473
氕	2
永	21904
氾	23
氿	0
汀	182
汁	24987
汇	10166
汈	0
汉	17467
灭	11782
犯	38123
犰	48
玄	1791
玉	13788
瓜	6184
瓦	9823
甘	5162
生	157217
用	853178
甩	8709
田	48354
由	1461390
甲	38307
申	1766
电	138828
疋	0
白	150922
皮	35344
皿	276
目	4344
矛	1566
矢	554
石	24370
示	12374
禾	1522
穴	3494
立	60506
纠	188
艺	3439
讦	195
讧	13
讨	13406
让	2464977
讪	22
讫	428
训	3715
议	12188
讯	18199
记	45393
讱	1
轧	5098
邓	8770
长	312865
闪	17511
队	133615
饥	1540
驭	222
鸟	76045
龙	55488
丞	630
丟	0
丢	37727
乒	43
乓	55
乔	8344
乩	305
买	369768
争	52543
亘	101
亙	0
亚	3895
交	41724
亥	208
亦	230228
产	48552
仰	3395
仲	557
仳	9
仵	38
件	422777
价	36490
任	113510
份	152657
仿	10753
企	231
伈	11
伉	3
伊	24183
伋	12
伍	4540
伎	148
伏	3109
伐	1469
休	25274
伕	0
众	31141
优	12193
伙	5497
会	2851164
伛	35
伝	0
伞	11979
伟	204
传	86231
伢	8
伣	0
伤	59303
伥	187
伦	341
伧	25
伪	11061
伫	285
佤	39
兆	993
兇	0
先	539659
光	146846
全	1517311
共	430487
关	60684
兴	8859
再	1512681
军	40144
农	49386
冰	40874
冱	2
冲	46682
决	11103
凫	70
凼	0
刎	54
刑	16763
划	4156
刖	17
列	36410
刘	52540
则	1284982
刚	195569
创	91640
劣	2027
动	83488
匈	381
匠	559
匡	637
华	12494
协	446
印	22368
危	4906
压	32528
厌	2009
厍	3
厾	0
吁	4376
吃	491375
各	1563228
吆	50
合	29077
吉	3477
吊	13901
吋	0
同	379653
名	1520234
后	3227004
吏	479
吐	24728
向	1116586
吒	29
吓	42743
吕	19899
吖	7
吗	302241
囝	231
回	258622
囟	24
因	1320672
囡	81
团	62555
在	11441587
圩	59
圪	2
圫	0
圬	5
圭	240
圮	21
圯	35
地	1267124
圲	0
圳	3062
圹	60
场	614975
壮	10245
夙	419
多	1963791
夷	1001
夸	7461
夹	25484
夺	25280
夼	0
奸	2427
她	2616707
奼	0
好	1230475
妁	9
如	569153
妃	4871
妄	481
妆	15574
妇	20374
妈	62909
孖	13
字	143137
存	28191
孙	16069
宅	16794
宇	365
守	32471
安	27607
寺	7188
寻	40008
导	6816
尖	8522
尘	4548
尥	0
尧	1106
尽	65046
屹	79
屺	4
屼	0
屾	0
屿	246
岁	1138043
岂	5457
州	12465
巩	378
帆	4444
师	22975
年	3298418
并	2428958
庄	9860
庆	5621
异	16449
式	51650
弛	228
当	629387
忏	167
忖	693
忙	75964
戌	237
戍	169
戎	1052
戏	124284
成	313608
托	17663
扛	19032
扞	26
扣	22809
扦	207
执	7850
扩	1240
扪	36
扫	15417
扬	10689
收	109805
旨	2404
早	200318
旬	8053
旭	2615
旮	98
旯	23
曲	16592
曳	278
有	8484511
朱	32125
朳	2
朴	1427
朵	22123
朸	0
机	39012
朽	124
杀	100300
杂	4579
权	38046
次	1737762
欢	7685
此	931116
死	148981
毕	5029
氖	17
氘	60
汆	1315
汊	102
汋	0
汎	0
汐	376
汔	32
汕	401
汗	13012
汙	0
汛	2745
汜	13
汝	3272
江	49015
池	21562
污	4131
汤	64741
灯	59402
灰	16383
爷	2861
牝	97
牟	1027
犴	18
犷	11
犸	4
玎	7
玑	13
甪	8
百	212228
癿	0
礼	58085
竹	39655
米	158855
糸	0
纡	117
红	177003
纣	147
纤	2127
纥	42
约	709057
级	146678
纨	199
纩	0
纪	1466
纫	11
缶	68
网	171707
羊	36096
羽	5916
老	298912
考	72434
而	2091350
耒	22
耳	30566
聿	110
肉	82652
肋	1086
肌	2605
臣	6578
自	313455
至	1257803
臼	331
舌	8454
舛	161
舟	8343
艮	131
色	33674
艽	29
艾	2535
艿	13
节	53919
虫	24424
血	60444
行	183672
衣	13877
西	81239
观	29884
讲	136945
讳	177
讴	11
讵	103
讶	39
讷	85
许	105798
讹	333
论	37298
讻	0
讼	604
讽	1952
设	118542
访	80170
诀	1128
贞	1034
负	35359
轨	5844
边	298094
辽	1115
邗	2
邘	0
邙	11
邛	22
邝	652
钆	2
钇	99
闫	30
闭	6366
问	266011
闯	23109
阡	91
页	65098
饧	9
驮	415
驯	672
驰	919
齐	21644
两	2350517
严	17991
丽	477
串	14665
乱	56330
亨	1492
亩	4206
伭	0
伯	4533
估	15154
伲	0
伴	20232
伶	356
伸	10492
伺	232
似	40438
伽	191
伾	0
佁	0
佃	537
但	3242178
佇	0
佈	0
