㋿ ㄌㄧㄥˋ-ㄏㄜˊ
🄆 ㄨˇ
🄇 ㄌㄧㄡˋ
🄈 ㄑㄧ
🄉 ㄅㄚ
🄊 ㄐㄧㄡˇ
⑴ ㄧ
⑵ ㄦˋ
⑶ ㄙㄢ
⑷ ㄙˋ
⑸ ㄨˇ
⑹ ㄌㄧㄡˋ
⑺ ㄑㄧ
⑻ ㄅㄚ
⑼ ㄐㄧㄡˇ
⑽ ㄕˊ
⑾ ㄕˊ-ㄧ
⑿ ㄕˊ-ㄦˋ
⒀ ㄕˊ-ㄙㄢ
⒁ ㄕˊ-ㄙˋ
⒂ ㄕˊ-ㄨˇ
⒃ ㄕˊ-ㄌㄧㄡˋ
⒄ ㄕˊ-ㄑㄧ
⒅ ㄕˊ-ㄅㄚ
⒆ ㄕˊ-ㄐㄧㄡˇ
⒇ ㄦˋ-ㄕˊ
⑩ ㄕˊ
⑪ ㄕˊ-ㄧ
⑫ ㄕˊ-ㄦˋ
⑬ ㄕˊ-ㄙㄢ
⑭ ㄕˊ-ㄙˋ
⑮ ㄕˊ-ㄨˇ
⑯ ㄕˊ-ㄌㄧㄡˋ
⑰ ㄕˊ-ㄑㄧ
⑱ ㄕˊ-ㄅㄚ
⑲ ㄕˊ-ㄐㄧㄡˇ
⑳ ㄦˋ-ㄕˊ
㉑ ㄦˋ-ㄕˊ-ㄧ
㉒ ㄦˋ-ㄕˊ-ㄦˋ
㉓ ㄦˋ-ㄕˊ-ㄙㄢ
㉔ ㄦˋ-ㄕˊ-ㄙˋ
㉕ ㄦˋ-ㄕˊ-ㄨˇ
㉖ ㄦˋ-ㄕˊ-ㄌㄧㄡˋ
㉗ ㄦˋ-ㄕˊ-ㄑㄧ
㉘ ㄦˋ-ㄕˊ-ㄅㄚ
㉙ ㄦˋ-ㄕˊ-ㄐㄧㄡˇ
㉚ ㄙㄢ-ㄕˊ
㉛ ㄙㄢ-ㄕˊ-ㄧ
㉜ ㄙㄢ-ㄕˊ-ㄦˋ
㉝ ㄙㄢ-ㄕˊ-ㄙㄢ
㉞ ㄙㄢ-ㄕˊ-ㄙˋ
㉟ ㄙㄢ-ㄕˊ-ㄨˇ
㊱ ㄙㄢ-ㄕˊ-ㄌㄧㄡˋ
㊲ ㄙㄢ-ㄕˊ-ㄑㄧ
㊳ ㄙㄢ-ㄕˊ-ㄅㄚ
㊴ ㄙㄢ-ㄕˊ-ㄐㄧㄡˇ
㊵ ㄙˋ-ㄕˊ
㊶ ㄙˋ-ㄕˊ-ㄧ
㊷ ㄙˋ-ㄕˊ-ㄦˋ
㊸ ㄙˋ-ㄕˊ-ㄙㄢ
㊹ ㄙˋ-ㄕˊ-ㄙˋ
㊺ ㄙˋ-ㄕˊ-ㄨˇ
㊻ ㄙˋ-ㄕˊ-ㄌㄧㄡˋ
㊼ ㄙˋ-ㄕˊ-ㄑㄧ
㊽ ㄙˋ-ㄕˊ-ㄅㄚ
㊾ ㄙˋ-ㄕˊ-ㄐㄧㄡˇ
㊿ ㄨˇ-ㄕˊ
㈠ ㄧ
㈡ ㄦˋ
㈢ ㄙㄢ
㈣ ㄙˋ
㈤ ㄨˇ
㈥ ㄌㄧㄡˋ
㈦ ㄑㄧ
㈧ ㄅㄚ
㈨ ㄐㄧㄡˇ
㈩ ㄕˊ
㊀ ㄧ
㊁ ㄦˋ
㊂ ㄙㄢ
㊃ ㄙˋ
㊄ ㄨˇ
㊅ ㄌㄧㄡˋ
㊆ ㄑㄧ
㊇ ㄅㄚ
㊈ ㄐㄧㄡˇ
㊉ ㄕˊ
ⅰ ㄧ
ⅱ ㄦˋ
ⅲ ㄙㄢ
ⅳ ㄙˋ
ⅴ ㄨˇ
ⅵ ㄌㄧㄡˋ
ⅶ ㄑㄧ
ⅷ ㄅㄚ
ⅸ ㄐㄧㄡˇ
ⅹ ㄕˊ
ⅺ ㄕˊ-ㄧ
ⅻ ㄕˊ-ㄦˋ
#===========
#_KAOMOJI_顏文字
☉☉ ㄋㄟ-ㄋㄟ
༼ᴼل͜ᴼ༽ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
༼ຈل͜ຈ༽ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(U◉ᴥ◉) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(^⍘^) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(≧Д≦) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(`Д´) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(;≧θ≦) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(;≧ﾽ≦) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(⁎˃ᆺ˂) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(╬Ò‸Ó) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
<(`^´)> ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(>д<) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(ꐦಠﾽಠ) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(ꐦಠ言ಠ) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(ꐦಠθಠ) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(`Д´) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(;`O´)o ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
o(-`д´-｡) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
( ͒˃⌂˂ ͒) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(°ㅂ°╬) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(ʘ言ʘ╬) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(ÒﾽÓ╬) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(ÒθÓ╬) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(-`д´-) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
눈_눈 ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(⋋▂⋌) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(¬▂¬) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
ಠ▃ಠ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(>x<) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
╰(‵□′)╯ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(>人<) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(>_<) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(╬•᷅д•᷄╬) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(,Ծ‸Ծ,) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
〴⋋_⋌〵 ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
-`д´- ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
Σ(▼▯▼ﾒ) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
\`•̀益•́´/ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(¬_¬) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
ಠ_ಠ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
⋋_⋌ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(눈_눈) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(/ʘ⁰౪⁰ʘ)/ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(◔д◔) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(◣_◢) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(ￓ◇ￓ) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(`o´) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
o_O|| ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
ㅇㅁㅇ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
Σ(°△°〣) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(@~@)? ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
┻┻ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
┴┴ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
┬┬ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
┏┓ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(ﾉˋﾛˊ)ﾉｼ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
ﾉ(ˋ口ˊﾉ) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(ﾉ>౪<‵)ﾉｼ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
ﾉ(>౪<ﾉ) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(ﾉˊ_>ˋ)ﾉｼ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
ﾉ(ˊ<_ˋﾉ) ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
(ﾉ*ﾛ*)ﾉｼ ㄧㄢˊ-ㄨㄣˊ-ㄗˋ
