㋿ ㄌㄧㄥˋ-ㄏㄜˊ
🪰 ㄋㄧㄡˊ-ㄇㄥˊ
🪰 ㄘㄤ-ㄧㄥˊ
🪱 ㄑㄧㄡ-ㄧㄣˇ
🪱 ㄔㄨㄥˊ
🪲 ㄐㄧㄚˇ-ㄔㄨㄥˊ
🪲 ㄔㄨㄥˊ
🪳 ㄒㄧㄠˇ-ㄑㄧㄤˊ
🪳 ㄓㄤ-ㄌㄤˊ
🪳 ㄔㄨㄥˊ
🪶 ㄩˇ-ㄇㄠˊ
🫀 ㄒㄧㄣ
🫁 ㄈㄟˋ
🫐 ㄌㄢˊ-ㄇㄟˊ
🫑 ㄑㄧㄥ-ㄐㄧㄠ
🫒 ㄍㄢˇ-ㄌㄢˇ
🫕 ㄏㄨㄛˇ-ㄍㄨㄛ
🫖 ㄔㄚˊ-ㄏㄨˊ
❤️ ㄞˋ
❤️ ㄞˋ-ㄒㄧㄣ
😀 ㄒㄧㄠˋ
😁 ㄒㄧㄠˋ
😃 ㄒㄧㄠˋ
😄 ㄒㄧㄠˋ
😆 ㄒㄧㄠˋ
😊 ㄒㄧㄠˋ
😓 ㄏㄢˋ
😛 ㄒㄧㄠˋ
😜 ㄒㄧㄠˋ
😝 ㄒㄧㄠˋ
😠 ㄋㄨˋ
😡 ㄋㄨˋ
😢 ㄎㄨ
😤 ㄋㄨˋ
😥 ㄎㄨ
😨 ㄆㄚˋ
😩 ㄎㄨ
😪 ㄌㄟˋ
😭 ㄎㄨ
😮‍💨 ㄌㄟˋ
😮‍💨 ㄊㄢˋ-ㄑㄧˋ
😮‍💨 ㄞˋ
😮‍💨 ㄟˋ
😱 ㄐㄧㄥ
😵 ㄌㄟˋ
😵‍💫 ㄌㄟˋ
😷 ㄅㄧㄥˋ
😸 ㄒㄧㄠˋ
😺 ㄒㄧㄠˋ
😾 ㄋㄨˋ
😿 ㄎㄨ
🙀 ㄐㄧㄥ
🙂 ㄒㄧㄠˋ
🙃 ㄒㄧㄠˋ
🙅 ㄅㄨˋ
🙅‍♀️ ㄅㄨˋ
🙅‍♂️ ㄅㄨˋ
🙆 ㄏㄠˇ
🙆‍♀️ ㄏㄠˇ
🙆‍♂️ ㄏㄠˇ
🙇 ㄅㄞˋ
🙇‍♀️ ㄅㄞˋ
🙇‍♂️ ㄅㄞˋ
🙈 ㄏㄡˊ
🙉 ㄏㄡˊ
🙊 ㄏㄡˊ
🙏 ㄍㄢˇ-ㄒㄧㄝˋ
🙏 ㄍㄢˇ-ㄣ
🙏 ㄐㄧˊ-ㄓㄤˇ
🙏 ㄒㄧㄝˋ-ㄒㄧㄝˋ
🚪 ㄇㄣˊ
🚬 ㄒㄧㄤ-ㄧㄢ
🚬 ㄧㄢ
🚰 ㄕㄨㄟˇ-ㄌㄨㄥˊ-ㄊㄡˊ
🚽 ㄇㄚˇ-ㄊㄨㄥˇ
🚿 ㄌㄧㄢˊ-ㄆㄥˊ-ㄊㄡˊ
🚿 ㄏㄨㄚ-ㄙㄚˇ
🚿 ㄒㄧˇ-ㄗㄠˇ
🛁 ㄒㄧˇ-ㄗㄠˇ
🛁 ㄩˋ-ㄍㄤ
🛁 ㄩˋ-ㄔˊ
🛋 ㄕㄚ-ㄈㄚ
🛌 ㄔㄨㄤˊ
🛏 ㄔㄨㄤˊ
🛠 ㄍㄨㄥ-ㄐㄩˋ
🛡 ㄉㄨㄣˋ
🛡 ㄉㄨㄣˋ-ㄆㄞˊ
🛢 ㄧㄡˊ-ㄊㄨㄥˇ
🛷 ㄒㄩㄝˇ-ㄑㄧㄠ
🛹 ㄏㄨㄚˊ-ㄅㄢˇ
🛼 ㄏㄨㄚˊ-ㄌㄨㄣˊ
🆖 ㄅㄨˋ-ㄎㄜˇ-ㄧˇ
🆖 ㄇㄨˇ-ㄊㄤ
🆖 ㄈㄡˇ-ㄐㄩㄝˊ
🆖 ㄉㄚˇ-ㄏㄨㄟˊ
🆖 ㄨˊ-ㄊㄨㄥ
✅ ㄉㄚˇ-ㄍㄡ
✅ ㄉㄨㄟˋ-ㄍㄡ
✅ ㄉㄨㄟˋ-ㄏㄠˋ
❎ ㄏㄨㄚˋ-ㄔㄚ
❎ ㄘㄨㄛˋ-ㄏㄠˋ
❎ ㄘㄨㄛˋ-ㄔㄚ
🚨 ㄐㄧㄥˇ-ㄍㄠˋ
🚨 ㄐㄧㄥˇ-ㄕˋ
⚠️ ㄐㄧㄥˇ-ㄍㄠˋ
⚠️ ㄐㄧㄥˇ-ㄕˋ
☑️ ㄉㄚˇ-ㄍㄡ
☑️ ㄉㄨㄟˋ-ㄍㄡ
☑️ ㄉㄨㄟˋ-ㄏㄠˋ
✔️ ㄉㄚˇ-ㄍㄡ
✔️ ㄉㄨㄟˋ-ㄍㄡ
✔️ ㄉㄨㄟˋ-ㄏㄠˋ
✖️ ㄏㄨㄚˋ-ㄔㄚ
✖️ ㄘㄨㄛˋ-ㄏㄠˋ
✖️ ㄘㄨㄛˋ-ㄔㄚ
☕️ ㄔㄚˊ
🍵 ㄔㄚˊ
🫖 ㄔㄚˊ
🧎‍♂️ ㄍㄨㄟˋ
🚬 ㄧㄢ
🚗 ㄔㄜ
🚕 ㄔㄜ
🚙 ㄔㄜ
🚌 ㄔㄜ
🚎 ㄔㄜ
🏎️ ㄔㄜ
🚓 ㄔㄜ
🚑 ㄔㄜ
🚒 ㄔㄜ
🚐 ㄔㄜ
🛻 ㄔㄜ
🚚 ㄔㄜ
🚛 ㄔㄜ
🛺 ㄔㄜ
🚔 ㄔㄜ
🚍 ㄔㄜ
🚘 ㄔㄜ
🚖 ㄔㄜ
㊤ ㄕㄤˋ
㊦ ㄒㄧㄚˋ
㊧ ㄗㄨㄛˇ
㊨ ㄧㄡˋ
