ㄅㄚ	bā	ba1
ㄉㄨㄛˇ	duǒ	duo3
ㄉㄨㄛˋ	duò	duo4
ㄉㄨㄛ˙	duo	duo5
ㄉㄨㄟ	duī	dui1
ㄉㄨㄟˇ	duǐ	dui3
ㄉㄨㄟˋ	duì	dui4
ㄉㄨㄢ	duān	duan1
ㄉㄨㄢˇ	duǎn	duan3
ㄉㄨㄢˋ	duàn	duan4
ㄉㄨㄣ	dūn	dun1
ㄉㄨㄣˇ	dǔn	dun3
ㄉㄨㄣˋ	dùn	dun4
ㄉㄨㄥ	dōng	dong1
ㄉㄨㄥˇ	dǒng	dong3
ㄉㄨㄥˋ	dòng	dong4
ㄊㄚ	tā	ta1
ㄊㄚˇ	tǎ	ta3
ㄊㄚˋ	tà	ta4
ㄊㄜˋ	tè	te4
ㄊㄞ	tāi	tai1
ㄊㄞˊ	tái	tai2
ㄊㄞˇ	tǎi	tai3
ㄊㄞˋ	tài	tai4
ㄊㄞ˙	tai	tai5
ㄊㄠ	tāo	tao1
ㄊㄠˊ	táo	tao2
ㄊㄠˇ	tǎo	tao3
ㄊㄠˋ	tào	tao4
ㄊㄠ˙	tao	tao5
ㄊㄡ	tōu	tou1
ㄊㄡˊ	tóu	tou2
ㄊㄡˇ	tǒu	tou3
ㄊㄡˋ	tòu	tou4
ㄊㄡ˙	tou	tou5
ㄊㄢ	tān	tan1
ㄊㄢˊ	tán	tan2
ㄊㄢˇ	tǎn	tan3
ㄊㄢˋ	tàn	tan4
ㄊㄤ	tāng	tang1
ㄊㄤˊ	táng	tang2
ㄊㄤˇ	tǎng	tang3
ㄊㄤˋ	tàng	tang4
ㄊㄥ	tēng	teng1
ㄊㄥˊ	téng	teng2
ㄊㄥˋ	tèng	teng4
ㄊㄧ	tī	ti1
ㄊㄧˊ	tí	ti2
ㄊㄧˇ	tǐ	ti3
ㄊㄧˋ	tì	ti4
ㄊㄧㄝ	tiē	tie1
ㄊㄧㄝˊ	tié	tie2
ㄊㄧㄝˇ	tiě	tie3
ㄊㄧㄝˋ	tiè	tie4
ㄊㄧㄠ	tiāo	tiao1
ㄊㄧㄠˊ	tiáo	tiao2
ㄊㄧㄠˇ	tiǎo	tiao3
ㄊㄧㄠˋ	tiào	tiao4
ㄊㄧㄢ	tiān	tian1
ㄊㄧㄢˊ	tián	tian2
ㄊㄧㄢˇ	tiǎn	tian3
ㄊㄧㄢˋ	tiàn	tian4
ㄊㄧㄥ	tīng	ting1
ㄊㄧㄥˊ	tíng	ting2
ㄊㄧㄥˇ	tǐng	ting3
ㄊㄧㄥˋ	tìng	ting4
ㄊㄨ	tū	tu1
ㄊㄨˊ	tú	tu2
ㄊㄨˇ	tǔ	tu3
ㄊㄨˋ	tù	tu4
ㄊㄨㄛ	tuō	tuo1
ㄊㄨㄛˊ	tuó	tuo2
ㄊㄨㄛˇ	tuǒ	tuo3
ㄊㄨㄛˋ	tuò	tuo4
ㄊㄨㄟ	tuī	tui1
ㄊㄨㄟˊ	tuí	tui2
ㄊㄨㄟˇ	tuǐ	tui3
ㄊㄨㄟˋ	tuì	tui4
ㄊㄨㄢ	tuān	tuan1
ㄊㄨㄢˊ	tuán	tuan2
ㄊㄨㄢˇ	tuǎn	tuan3
ㄊㄨㄢˋ	tuàn	tuan4
ㄊㄨㄣ	tūn	tun1
ㄊㄨㄣˊ	tún	tun2
ㄊㄨㄣˇ	tǔn	tun3
ㄊㄨㄣˋ	tùn	tun4
ㄊㄨㄥ	tōng	tong1
ㄊㄨㄥˊ	tóng	tong2
ㄊㄨㄥˇ	tǒng	tong3
ㄊㄨㄥˋ	tòng	tong4
ㄋㄚ	nā	na1
ㄋㄚˊ	ná	na2
ㄋㄚˇ	nǎ	na3
ㄋㄚˋ	nà	na4
ㄋㄚ˙	na	na5
ㄋㄜˋ	nè	ne4
ㄋㄜ˙	ne	ne5
ㄋㄞˊ	nái	nai2
ㄋㄞˇ	nǎi	nai3
ㄋㄞˋ	nài	nai4
ㄋㄟˊ	néi	nei2
ㄋㄟˇ	něi	nei3
ㄋㄟˋ	nèi	nei4
ㄋㄠ	nāo	nao1
ㄋㄠˊ	náo	nao2
ㄋㄠˇ	nǎo	nao3
ㄋㄠˋ	nào	nao4
ㄋㄡˊ	nóu	nou2
ㄋㄡˇ	nǒu	nou3
ㄋㄡˋ	nòu	nou4
ㄋㄢ	nān	nan1
ㄋㄢˊ	nán	nan2
ㄋㄢˇ	nǎn	nan3
ㄋㄢˋ	nàn	nan4
ㄋㄣˇ	něn	nen3
ㄋㄣˋ	nèn	nen4
ㄋㄤ	nāng	nang1
ㄋㄤˊ	náng	nang2
ㄋㄤˇ	nǎng	nang3
ㄋㄤˋ	nàng	nang4
ㄋㄤ˙	nang	nang5
ㄋㄥˊ	néng	neng2
ㄋㄥˇ	něng	neng3
ㄋㄧ	nī	ni1
ㄋㄧˊ	ní	ni2
ㄋㄧˇ	nǐ	ni3
ㄋㄧˋ	nì	ni4
ㄋㄧㄝ	niē	nie1
ㄋㄧㄝˊ	nié	nie2
ㄋㄧㄝˋ	niè	nie4
ㄋㄧㄠˇ	niǎo	niao3
ㄋㄧㄠˋ	niào	niao4
ㄋㄧㄡ	niū	niu1
ㄋㄧㄡˊ	niú	niu2
ㄋㄧㄡˇ	niǔ	niu3
ㄋㄧㄡˋ	niù	niu4
ㄋㄧㄢ	niān	nian1
ㄋㄧㄢˊ	nián	nian2
ㄋㄧㄢˇ	niǎn	nian3
ㄋㄧㄢˋ	niàn	nian4
ㄋㄧㄣ	nīn	nin1
ㄋㄧㄣˊ	nín	nin2
ㄋㄧㄣˇ	nǐn	nin3
ㄋㄧㄣˋ	nìn	nin4
ㄋㄧㄤˊ	niáng	niang2
ㄋㄧㄤˇ	niǎng	niang3
ㄋㄧㄤˋ	niàng	niang4
ㄋㄧㄥˊ	níng	ning2
ㄋㄧㄥˇ	nǐng	ning3
ㄋㄧㄥˋ	nìng	ning4
ㄋㄨˊ	nú	nu2
ㄋㄨˇ	nǔ	nu3
ㄋㄨˋ	nù	nu4
ㄋㄨㄛˊ	nuó	nuo2
ㄋㄨㄛˇ	nuǒ	nuo3
ㄋㄨㄛˋ	nuò	nuo4
ㄋㄨㄟˊ	nuí	nui2
ㄋㄨㄢˊ	nuán	nuan2
ㄋㄨㄢˇ	nuǎn	nuan3
ㄋㄨㄢˋ	nuàn	nuan4
ㄋㄨㄣˊ	nún	nun2
ㄋㄨㄥˊ	nóng	nong2
ㄋㄨㄥˇ	nǒng	nong3
ㄋㄨㄥˋ	nòng	nong4
ㄋㄩˊ	nǘ	nv2
ㄋㄩˇ	nǚ	nv3
ㄋㄩˋ	nǜ	nv4
ㄋㄩㄝˋ	nüè	nve4
ㄌㄚ	lā	la1
ㄌㄚˊ	lá	la2
ㄌㄚˇ	lǎ	la3
ㄌㄚˋ	là	la4
ㄌㄚ˙	la	la5
ㄌㄛ	lō	lo1
ㄌㄛ˙	lo	lo5
ㄌㄜ	lē	le1
ㄌㄜˊ	lé	le2
ㄌㄜˋ	lè	le4
ㄌㄜ˙	le	le5
ㄌㄞˊ	lái	lai2
ㄌㄞˇ	lǎi	lai3
ㄌㄞˋ	lài	lai4
ㄌㄟ	lēi	lei1
ㄌㄟˊ	léi	lei2
ㄌㄟˇ	lěi	lei3
ㄌㄟˋ	lèi	lei4
ㄌㄟ˙	lei	lei5
ㄌㄠ	lāo	lao1
ㄌㄠˊ	láo	lao2
ㄌㄠˇ	lǎo	lao3
ㄌㄠˋ	lào	lao4
ㄌㄡ	lōu	lou1
ㄌㄡˊ	lóu	lou2
ㄌㄡˇ	lǒu	lou3
ㄌㄡˋ	lòu	lou4
ㄌㄡ˙	lou	lou5
ㄌㄢˊ	lán	lan2
ㄌㄢˇ	lǎn	lan3
ㄌㄢˋ	làn	lan4
ㄌㄤ	lāng	lang1
ㄌㄤˊ	láng	lang2
ㄌㄤˇ	lǎng	lang3
ㄌㄤˋ	làng	lang4
ㄌㄥ	lēng	leng1
ㄌㄥˊ	léng	leng2
ㄌㄥˇ	lěng	leng3
ㄌㄥˋ	lèng	leng4
ㄌㄧ	lī	li1
ㄌㄧˊ	lí	li2
ㄌㄧˇ	lǐ	li3
ㄌㄧˋ	lì	li4
ㄌㄧ˙	li	li5
ㄌㄧㄚˇ	liǎ	lia3
ㄌㄧㄝ	liē	lie1
ㄌㄧㄝˊ	lié	lie2
ㄌㄧㄝˇ	liě	lie3
ㄌㄧㄝˋ	liè	lie4
ㄌㄧㄠ	liāo	liao1
ㄌㄧㄠˊ	liáo	liao2
ㄌㄧㄠˇ	liǎo	liao3
ㄌㄧㄠˋ	liào	liao4
ㄌㄧㄡ	liū	liu1
ㄌㄧㄡˊ	liú	liu2
ㄌㄧㄡˇ	liǔ	liu3
ㄌㄧㄡˋ	liù	liu4
ㄌㄧㄢ	liān	lian1
ㄌㄧㄢˊ	lián	lian2
ㄌㄧㄢˇ	liǎn	lian3
ㄌㄧㄢˋ	liàn	lian4
ㄌㄧㄣˊ	lín	lin2
ㄌㄧㄣˇ	lǐn	lin3
ㄌㄧㄣˋ	lìn	lin4
ㄌㄧㄤˊ	liáng	liang2
ㄌㄧㄤˇ	liǎng	liang3
ㄌㄧㄤˋ	liàng	liang4
ㄌㄧㄥ	līng	ling1
ㄌㄧㄥˊ	líng	ling2
ㄌㄧㄥˇ	lǐng	ling3
ㄌㄧㄥˋ	lìng	ling4
ㄌㄨ	lū	lu1
ㄌㄨˊ	lú	lu2
ㄌㄨˇ	lǔ	lu3
ㄌㄨˋ	lù	lu4
ㄌㄨㄛ	luō	luo1
ㄌㄨㄛˊ	luó	luo2
ㄌㄨㄛˇ	luǒ	luo3
ㄌㄨㄛˋ	luò	luo4
ㄌㄨㄛ˙	luo	luo5
ㄌㄨㄢˊ	luán	luan2
ㄌㄨㄢˇ	luǎn	luan3
ㄌㄨㄢˋ	luàn	luan4
ㄌㄨㄣ	lūn	lun1
ㄌㄨㄣˊ	lún	lun2
ㄌㄨㄣˇ	lǔn	lun3
ㄌㄨㄣˋ	lùn	lun4
ㄌㄨㄥ	lōng	long1
ㄌㄨㄥˊ	lóng	long2
ㄌㄨㄥˇ	lǒng	long3
ㄌㄨㄥˋ	lòng	long4
ㄌㄩ	lǖ	lv1
ㄌㄩˊ	lǘ	lv2
ㄌㄩˇ	lǚ	lv3
ㄌㄩˋ	lǜ	lv4
ㄌㄩㄝ	lüē	lve1
ㄌㄩㄝˇ	lüě	lve3
ㄌㄩㄝˋ	lüè	lve4
ㄌㄩㄢˊ	lüán	lvan2
ㄌㄩㄢˇ	lüǎn	lvan3
ㄍㄚ	gā	ga1
ㄍㄚˊ	gá	ga2
ㄍㄚˇ	gǎ	ga3
ㄍㄚˋ	gà	ga4
ㄍㄚ˙	ga	ga5
ㄍㄜ	gē	ge1
ㄍㄜˊ	gé	ge2
ㄍㄜˇ	gě	ge3
ㄍㄜˋ	gè	ge4
ㄍㄜ˙	ge	ge5
ㄍㄞ	gāi	gai1
ㄍㄞˇ	gǎi	gai3
ㄍㄞˋ	gài	gai4
ㄍㄟˇ	gěi	gei3
ㄍㄠ	gāo	gao1
ㄍㄠˇ	gǎo	gao3
ㄍㄠˋ	gào	gao4
ㄍㄡ	gōu	gou1
ㄍㄡˇ	gǒu	gou3
ㄍㄡˋ	gòu	gou4
ㄍㄢ	gān	gan1
ㄍㄢˇ	gǎn	gan3
ㄍㄢˋ	gàn	gan4
ㄍㄣ	gēn	gen1
ㄍㄣˊ	gén	gen2
ㄍㄣˇ	gěn	gen3
ㄍㄣˋ	gèn	gen4
ㄍㄤ	gāng	gang1
ㄍㄤˇ	gǎng	gang3
ㄍㄤˋ	gàng	gang4
ㄍㄥ	gēng	geng1
ㄍㄥˇ	gěng	geng3
ㄍㄥˋ	gèng	geng4
ㄍㄨ	gū	gu1
ㄍㄨˊ	gú	gu2
ㄍㄨˇ	gǔ	gu3
ㄍㄨˋ	gù	gu4
ㄍㄨㄚ	guā	gua1
ㄍㄨㄚˊ	guá	gua2
ㄍㄨㄚˇ	guǎ	gua3
ㄍㄨㄚˋ	guà	gua4
ㄍㄨㄛ	guō	guo1
ㄍㄨㄛˊ	guó	guo2
ㄍㄨㄛˇ	guǒ	guo3
ㄍㄨㄛˋ	guò	guo4
ㄍㄨㄜˊ	gué	gue2
ㄍㄨㄞ	guāi	guai1
ㄍㄨㄞˇ	guǎi	guai3
ㄍㄨㄞˋ	guài	guai4
ㄍㄨㄟ	guī	gui1
ㄍㄨㄟˇ	guǐ	gui3
ㄍㄨㄟˋ	guì	gui4
ㄍㄨㄢ	guān	guan1
ㄍㄨㄢˇ	guǎn	guan3
ㄍㄨㄢˋ	guàn	guan4
ㄍㄨㄣ	gūn	gun1
ㄍㄨㄣˇ	gǔn	gun3
ㄍㄨㄣˋ	gùn	gun4
ㄍㄨㄤ	guāng	guang1
ㄍㄨㄤˇ	guǎng	guang3
ㄍㄨㄤˋ	guàng	guang4
ㄍㄨㄥ	gōng	gong1
ㄍㄨㄥˊ	góng	gong2
ㄍㄨㄥˇ	gǒng	gong3
ㄍㄨㄥˋ	gòng	gong4
ㄎㄚ	kā	ka1
ㄎㄚˇ	kǎ	ka3
ㄎㄚˋ	kà	ka4
ㄎㄜ	kē	ke1
ㄎㄜˊ	ké	ke2
ㄎㄜˇ	kě	ke3
ㄎㄜˋ	kè	ke4
ㄎㄞ	kāi	kai1
ㄎㄞˇ	kǎi	kai3
ㄎㄞˋ	kài	kai4
ㄎㄠ	kāo	kao1
ㄎㄠˇ	kǎo	kao3
ㄎㄠˋ	kào	kao4
ㄎㄡ	kōu	kou1
ㄎㄡˇ	kǒu	kou3
ㄎㄡˋ	kòu	kou4
ㄎㄢ	kān	kan1
ㄎㄢˇ	kǎn	kan3
ㄎㄢˋ	kàn	kan4
ㄎㄣ	kēn	ken1
ㄎㄣˇ	kěn	ken3
ㄎㄣˋ	kèn	ken4
ㄎㄤ	kāng	kang1
ㄎㄤˊ	káng	kang2
ㄎㄤˇ	kǎng	kang3
ㄎㄤˋ	kàng	kang4
ㄎㄥ	kēng	keng1
ㄎㄥˇ	kěng	keng3
ㄎㄨ	kū	ku1
ㄎㄨˊ	kú	ku2
ㄎㄨˇ	kǔ	ku3
ㄎㄨˋ	kù	ku4
ㄎㄨㄚ	kuā	kua1
ㄎㄨㄚˇ	kuǎ	kua3
ㄎㄨㄚˋ	kuà	kua4
ㄎㄨㄛˋ	kuò	kuo4
ㄎㄨㄞ	kuāi	kuai1
ㄎㄨㄞˇ	kuǎi	kuai3
ㄎㄨㄞˋ	kuài	kuai4
ㄎㄨㄟ	kuī	kui1
ㄎㄨㄟˊ	kuí	kui2
ㄎㄨㄟˇ	kuǐ	kui3
ㄎㄨㄟˋ	kuì	kui4
ㄎㄨㄢ	kuān	kuan1
ㄎㄨㄢˇ	kuǎn	kuan3
ㄎㄨㄢˋ	kuàn	kuan4
ㄎㄨㄣ	kūn	kun1
ㄎㄨㄣˇ	kǔn	kun3
ㄎㄨㄣˋ	kùn	kun4
ㄎㄨㄤ	kuāng	kuang1
ㄎㄨㄤˊ	kuáng	kuang2
ㄎㄨㄤˇ	kuǎng	kuang3
ㄎㄨㄤˋ	kuàng	kuang4
ㄎㄨㄥ	kōng	kong1
ㄎㄨㄥˇ	kǒng	kong3
ㄎㄨㄥˋ	kòng	kong4
ㄏㄚ	hā	ha1
ㄏㄚˊ	há	ha2
ㄏㄚˇ	hǎ	ha3
ㄏㄜ	hē	he1
ㄏㄜˊ	hé	he2
ㄏㄜˇ	hě	he3
ㄏㄜˋ	hè	he4
ㄏㄞ	hāi	hai1
ㄏㄞˊ	hái	hai2
ㄏㄞˇ	hǎi	hai3
ㄏㄞˋ	hài	hai4
ㄏㄟ	hēi	hei1
ㄏㄟˇ	hěi	hei3
ㄏㄠ	hāo	hao1
ㄏㄠˊ	háo	hao2
ㄏㄠˇ	hǎo	hao3
ㄏㄠˋ	hào	hao4
ㄏㄡ	hōu	hou1
ㄏㄡˊ	hóu	hou2
ㄏㄡˇ	hǒu	hou3
ㄏㄡˋ	hòu	hou4
ㄏㄢ	hān	han1
ㄏㄢˊ	hán	han2
ㄏㄢˇ	hǎn	han3
ㄏㄢˋ	hàn	han4
ㄏㄣ	hēn	hen1
ㄏㄣˊ	hén	hen2
ㄏㄣˇ	hěn	hen3
ㄏㄣˋ	hèn	hen4
ㄏㄤ	hāng	hang1
ㄏㄤˊ	háng	hang2
ㄏㄤˇ	hǎng	hang3
ㄏㄤˋ	hàng	hang4
ㄏㄥ	hēng	heng1
ㄏㄥˊ	héng	heng2
ㄏㄥˋ	hèng	heng4
ㄏㄨ	hū	hu1
ㄏㄨˊ	hú	hu2
ㄏㄨˇ	hǔ	hu3
ㄏㄨˋ	hù	hu4
