ㄅㄚ	bā	ba1
ㄨㄟ	wēi	wei1
ㄨㄟˊ	wéi	wei2
ㄨㄟˇ	wěi	wei3
ㄨㄟˋ	wèi	wei4
ㄨㄢ	wān	wan1
ㄨㄢˊ	wán	wan2
ㄨㄢˇ	wǎn	wan3
ㄨㄢˋ	wàn	wan4
ㄨㄣ	wēn	wen1
ㄨㄣˊ	wén	wen2
ㄨㄣˇ	wěn	wen3
ㄨㄣˋ	wèn	wen4
ㄨㄤ	wāng	wang1
ㄨㄤˊ	wáng	wang2
ㄨㄤˇ	wǎng	wang3
ㄨㄤˋ	wàng	wang4
ㄨㄥ	wēng	weng1
ㄨㄥˇ	wěng	weng3
ㄨㄥˋ	wèng	weng4
ㄩ	yū	yu1
ㄩˊ	yú	yu2
ㄩˇ	yǔ	yu3
ㄩˋ	yù	yu4
ㄩㄝ	yuē	yue1
ㄩㄝˇ	yuě	yue3
ㄩㄝˋ	yuè	yue4
ㄩㄢ	yuān	yuan1
ㄩㄢˊ	yuán	yuan2
ㄩㄢˇ	yuǎn	yuan3
ㄩㄢˋ	yuàn	yuan4
ㄩㄣ	yūn	yun1
ㄩㄣˊ	yún	yun2
ㄩㄣˇ	yǔn	yun3
ㄩㄣˋ	yùn	yun4
ㄩㄥ	yōng	yong1
ㄩㄥˊ	yóng	yong2
ㄩㄥˇ	yǒng	yong3
ㄩㄥˋ	yòng	yong4
